variable_name,label
cgm_end,End date of CGM monitoring
cgm_glucose_var,Glucose Variability (%)
cgm_gmi,Glucose Management Indicator (GMI)
cgm_high,Time in Ranges: High (%)
cgm_low,Time in Ranges: Low (%)
cgm_range_inrange,Time in Range: % In Range
cgm_start,Start Date of CGM Monitoring
cgm_target,Time in Ranges: Target Range (%)
cgm_v_high,Time in Ranges: Very High (%)
cgm_v_low,Time in Ranges: Very Low (%)
cgm_yn,Continuous glucose monitor (Y/N)
ch,Ch
che_18_2,ChE(18:2)
che_18_2_nh4,ChE(18:2)+NH4
che_18_3,ChE(18:3)
che_18_3_nh4,ChE(18:3)+NH4
che_20_4,ChE(20:4)
che_20_4_h,ChE(20:4)+H
che_20_4_nh4,ChE(20:4)+NH4
che_20_5,ChE(20:5)
che_20_5_nh4,ChE(20:5)+NH4
che_22_6,ChE(22:6)
che_22_6_nh4,ChE(22:6)+NH4
che_h_h2o,ChE()+H-H2O
chol_base,Baseline Cholesterol (mmol/L)
cholesterol,Cholesterol (mmol/L)
cid57357170,O-Decenoyl-L-carnitine (acyl-C10:1)
circum_1,Phase 1 temporal circumferential strain
circum_2,Phase 2 temporal circumferential strain
circum_3,Phase 3 temporal circumferential strain
circum_4,Phase 4 temporal circumferential strain
circum_5,Phase 5 temporal circumferential strain
circum_6,Phase 6 temporal circumferential strain
circum_7,Phase 7 temporal circumferential strain
circum_8,Phase 8 temporal circumferential strain
circum_9,Phase 9 temporal circumferential strain
circum_10,Phase 10 temporal circumferential strain
circum_11,Phase 11 temporal circumferential strain
circum_12,Phase 12 temporal circumferential strain
circum_13,Phase 13 temporal circumferential strain
circum_14,Phase 14 temporal circumferential strain
circum_15,Phase 15 temporal circumferential strain
circum_16,Phase 16 temporal circumferential strain
circum_17,Phase 17 temporal circumferential strain
circum_18,Phase 18 temporal circumferential strain
circum_19,Phase 19 temporal circumferential strain
circum_20,Phase 20 temporal circumferential strain
circum_21,Phase 21 temporal circumferential strain
circum_22,Phase 22 temporal circumferential strain
circum_23,Phase 23 temporal circumferential strain
circum_24,Phase 24 temporal circumferential strain
circum_25,Phase 25 temporal circumferential strain
circum_26,Phase 26 temporal circumferential strain
circum_27,Phase 27 temporal circumferential strain
circum_28,Phase 28 temporal circumferential strain
circum_29,Phase 29 temporal circumferential strain
circum_30,Phase 30 temporal circumferential strain
citrate,Citrate
cl_70_1_2h,CL(70:1)-2H
cl_70_3_2h,CL(70:3)-2H
cl_74_3_2h,CL(74:3)-2H
cl_74_3_2h_1,CL(74:3)-2H
cl_74_7_2h,CL(74:7)-2H
cl_75_4_2h,CL(75:4)-2H
cl_75_6_2h,CL(75:6)-2H
cl_78_7_2h,CL(78:7)-2H
cl_78_9_2h,CL(78:9)-2H
cl_base,Baseline Cl/Chlroide (nmol/L)
cm,Plasma protein mean concentration
co2,CO2: (mmol/L)
co_q10,Co(Q10)
co_q10_nh4,Co(Q10)+NH4
com,Comment
congestive_heart_failure,Congestive heart failure
consent_date,Date of Consent
copeptin,Copeptin (pmol/L)
core_diagnostic,Segment for LM & EM obtained
core_hypo_cryo,Hypothermosol/Cryostor obtained
core_oct,OCT obtained
core_rna,RNALater obtained
core_tissue_type,Core Tissue Type
coronary_artery_disease,Coronary Artery Disease
cortex_analyzed_area,Area of Cortex anayzed
cortex_diagnosis___1,Cortex Diagnosis (choice 1)
cortex_diagnosis___2,Cortex Diagnosis (choice 2)
cortex_dx_other,If other:
cortex_percentage,Percentage of cortex analyzed
cortex_total_area,Total area of cortex in the biopsy
cortex_yn,Cortex extracted for analysis
cpa18_1_0_0_tissue,CPA (18:1/0:0)
cpep_2,C-peptide (2 min)
cpep_3,C-peptide (3 min)
cpep_4,C-peptide (4 min)
cpep_5,C-peptide (5 min)
cpep_6,C-peptide (6 min)
cpep_8,C-peptide (8 min)
cpep_10,C-peptide (10 min)
cpep_12,C-peptide (12 min)
cpep_14,C-peptide (14 min)
cpep_16,C-peptide (16 min)
cpep_19,C-peptide (19 min)
cpep_22,C-peptide (22 min)
cpep_23,C-peptide (23 min)
cpep_24,C-peptide (24 min)
cpep_25,C-peptide (25 min)
cpep_27,C-peptide (27 min)
cpep_30,C-peptide (30 min)
cpep_35,C-peptide (35 min)
cpep_40,C-peptide (40 min)
cpep_50,C-peptide (50 min)
cpep_60,C-peptide (60 min)
cpep_70,C-peptide (70 min)
cpep_80,C-peptide (80 min)
cpep_90,C-peptide (90 min)
cpep_100,C-peptide (100 min)
cpep_120,C-peptide (120 min)
cpep_140,C-peptide (140 min)
cpep_160,C-peptide (160 min)
cpep_180,C-peptide (180 min)
cpep_minus_15,C-peptide (-15 min)
cpeptide,C-Peptide
cpeptide_0,C-Peptide (0 min)
cpeptide_2,C-Peptide (2 min)
cpeptide_4,C-Peptide (4 min)
cpeptide_6,C-Peptide (6 min)
cpeptide_8,C-Peptide (8 min)
cpeptide_10,C-Peptide (10 min)
cpeptide_20,C-Peptide (20 min)
cpeptide_30,C-Peptide (30 min)
cpeptide_60,C-Peptide (60 min)
cpeptide_90,C-Peptide (90 min)
cpeptide_120,C-Peptide (120 min)
cpeptide_180,C-Peptide (180 min)
cpeptide_220,C-Peptide (220 min)
cpeptide_230,C-Peptide (230 min)
cpeptide_240,C-Peptide (240 min)
cpeptide_245,C-Peptide (245 min)
cpeptide_249,C-Peptide (249 min)
cpeptide_250,C-Peptide (250 min)
cpeptide_252,C-Peptide (252 min)
cpeptide_253,C-Peptide (253 min)
cpeptide_254,C-Peptide (254 min)
cpeptide_255,C-Peptide (255 min)
cpeptide_auc,C-Peptide AUC
cpeptide_minus_5,C-Peptide (T=-5 Before Clamp)
cpeptide_minus_10,C-Peptide (T=-10 Before Clamp)
cpm1,PET CPM (sample 1)
cpm2,PET CPM (sample 2)
creat_base,Baseline Creatinine (mg/dL)
creat_s,Serum Creatinine
creat_u,Urine Creatinine
creatinine_s,Serum Creatinine (mg/dL)
creatinine_u,Urine Creatinine (mg/dL)
crescents_n,Crescents (n)
crescents_type,Crescents Type
cryo_hypo_pass,Hypothermosol/Cryostor Core obtained in Pass #
cryo_time,Time: Core placed in Cryostor cryovial (Orange)
cryomold_id,(BLUE) Cryomold with OCT ID [S-9999-999999]
cryostor_id,(ORANGE) Cryostor Cryovial ID [S-9999-999999]
cyst_parenchyma_sa,Cyst-Parenchyma Surface Area (cm^2)
cystatin_c_s,Cystatin C (mg/L)
cystine,Cystine
d20_bolus_time,D20 Bolus - Time Started
d20_bolus_vol,D20 Bolus - Initial Volume
d20_bolus_volume,D20 Bolus - Initial Volume
d20_infusion,D20 - (Steady State) Infusion Rate
d20_infusion_rate_120,D20 Infusion Rate (120 min)
d20_infusion_rate_220,D20 Infusion Rate (220 min)
d20_infusion_rate_230,D20 Infusion Rate (230 min)
d20_infusion_rate_240,D20 Infusion Rate (240 min)
d20_volume,D20 Total Volume
d25_bolus_time,D25 Bolus Time
dap_o_4_0_o_4_0,DAP(O-4:0_O-4:0)
dap_o_12_0_o_4_0,DAP(O-12:0_O-4:0)
dap_o_13_0_o_5_0,DAP(O-13:0_O-5:0)
dap_o_14_0_o_6_0,DAP(O-14:0_O-6:0)
date_of_screen,Date of Screening Labs
dbp,Diastolic Blood Pressure (mmHg)
degree,What is the highest degree or level of school you have completed
deltapf,Filtration pressure across glomerular capillaries
depth_left,Left kidney: depth (cm)
depth_right,Right kidney: depth (cm)
dex_bol_com,Dextran bolus completion time
dex_bol_start,Dextran bolus administration start time
dexa_ag_ratio,Android/Gynoid Ratio (DXA)
dexa_body_fat,Body fat percentage (%)
dexa_bone_mineral_density,Bone Mineral Density (DXA) (g/cm^2)
dexa_est_vat,Estimated VAT mass (DXA) (g)
dexa_fat_kg,Fat mass (kg)
dexa_lean_kg,Lean mass (kg)
dexa_lean_mass,Lean mass percentage (%)
dexa_trunk_kg,Trunk mass (kg)
dexa_trunk_mass,Trunk mass percentage (%)
dexcom_yn,Does patient currently utilize a Dexcom CGM System
dexcomdata_yn,Was Dexcom CGM Data collected on patient 1 week before study visit
dextran_yn,Dextran given
dg_13_1_20_2,DG(13:1_20:2)
dg_14_0_18_2,DG(14:0_18:2)
dg_14_0_18_2_nh4,DG(14:0_18:2)+NH4
dg_15_0_18_1_nh4,DG(15:0_18:1)+NH4
dg_15_1_21_4,DG(15:1_21:4)
dg_16_0_14_0_nh4,DG(16:0_14:0)+NH4
dg_16_0_16_0,DG(16:0_16:0)
dg_16_0_16_0_nh4,DG(16:0_16:0)+NH4
dg_16_0_16_1,DG(16:0_16:1)
dg_16_0_17_0_nh4,DG(16:0_17:0)+NH4
dg_16_0_18_1,DG(16:0_18:1)
dg_16_0_18_1_h,DG(16:0_18:1)+H
dg_16_0_18_1_nh4,DG(16:0_18:1)+NH4
dg_16_0_18_2,DG(16:0_18:2)
dg_16_0_18_2_nh4,DG(16:0_18:2)+NH4
dg_16_1_18_2,DG(16:1_18:2)
dg_16_1_18_2_nh4,DG(16:1_18:2)+NH4
dg_17_0_18_1_nh4,DG(17:0_18:1)+NH4
dg_17_1_18_1,DG(17:1_18:1)
dg_17_1_18_1_nh4,DG(17:1_18:1)+NH4
dg_18_0_16_0_nh4,DG(18:0_16:0)+NH4
dg_18_0_18_0,DG(18:0_18:0)
dg_18_0_18_0_nh4,DG(18:0_18:0)+NH4
dg_18_0_18_1,DG(18:0_18:1)
dg_18_0_18_1_nh4,DG(18:0_18:1)+NH4
dg_18_1_12_0_nh4,DG(18:1_12:0)+NH4
dg_18_1_14_0_nh4,DG(18:1_14:0)+NH4
dg_18_1_18_1,DG(18:1_18:1)
dg_18_1_18_1_h,DG(18:1_18:1)+H
dg_18_1_18_1_nh4,DG(18:1_18:1)+NH4
dg_18_1_18_2,DG(18:1_18:2)
dg_18_1_18_2_h,DG(18:1_18:2)+H
dg_18_1_18_2_nh4,DG(18:1_18:2)+NH4
dg_18_1_20_2_nh4,DG(18:1_20:2)+NH4
dg_18_1_20_3_nh4,DG(18:1_20:3)+NH4
dg_18_1_20_4,DG(18:1_20:4)
dg_18_1_20_4_nh4,DG(18:1_20:4)+NH4
dg_18_1_22_1_nh4,DG(18:1_22:1)+NH4
dg_18_2_18_2,DG(18:2_18:2)
dg_18_2_18_2_nh4,DG(18:2_18:2)+NH4
dg_18_2_18_3,DG(18:2_18:3)
dg_18_2_20_4,DG(18:2_20:4)
dg_18_3_18_2_nh4,DG(18:3_18:2)+NH4
dg_20_0_18_1_nh4,DG(20:0_18:1)+NH4
dg_20_1_18_1_nh4,DG(20:1_18:1)+NH4
dg_22_4_11_0,DG(22:4_11:0)
dg_30_0e_na,DG(30:0e)+Na
dg_30_0e_na_1,DG(30:0e)+Na
dg_32_0e_na,DG(32:0e)+Na
dg_32_0e_na_1,DG(32:0e)+Na
dg_32_1e_na,DG(32:1e)+Na
dg_32_1e_na_1,DG(32:1e)+Na
dg_32_1e_na_2,DG(32:1e)+Na
dg_34_0,DG(34:0)
dg_34_1e_na,DG(34:1e)+Na
dg_34_1e_na_1,DG(34:1e)+Na
dg_34_2_h,DG(34:2)+H
dg_34_2e_na,DG(34:2e)+Na
dg_34_2e_na_1,DG(34:2e)+Na
dg_34_3e_h,DG(34:3e)+H
dg_34_3e_h_1,DG(34:3e)+H
dg_34_3e_h_2,DG(34:3e)+H
dg_34_4e_h,DG(34:4e)+H
dg_34_4e_h_1,DG(34:4e)+H
dg_34_4e_h_2,DG(34:4e)+H
dg_36_3e_h,DG(36:3e)+H
dg_36_4e_h,DG(36:4e)+H
dg_36_4e_h_1,DG(36:4e)+H
dg_36_5e_h,DG(36:5e)+H
dg_36_5e_h_1,DG(36:5e)+H
dg_38_6_nh4,DG(38:6)+NH4
dg_o_6_0_12_0,DG(O-6:0_12:0)
dg_o_6_0_24_0,DG(O-6:0_24:0)
dg_o_8_0_24_0,DG(O-8:0_24:0)
dg_o_10_0_23_5,DG(O-10:0_23:5)
dg_o_11_0_23_3,DG(O-11:0_23:3)
dg_o_12_0_22_4,DG(O-12:0_22:4)
dg_o_15_0_21_4,DG(O-15:0_21:4)
dg_o_17_1_22_2,DG(O-17:1_22:2)
dg_o_18_3_18_2,DG(O-18:3_18:2)
dg_o_19_0_15_2,DG(O-19:0_15:2)
dg_o_19_0_17_3,DG(O-19:0_17:3)
dg_o_21_6_17_0,DG(O-21:6_17:0)
dg_o_24_3_12_1,DG(O-24:3_12:1)
dg_p_8_0_24_0,DG(P-8:0_24:0)
dg_p_12_1_22_0,DG(P-12:1_22:0)
dg_p_13_1_21_0,DG(P-13:1_21:0)
dg_p_13_1_23_2,DG(P-13:1_23:2)
dg_p_26_8_19_4,DG(P-26:8_19:4)
di,Disposition Index (*10^3 mg/kg lean/min)
diabetes_age,Age at Diagnosis of Diabetes
diabetes_diag,Date of Diagnosis with Diabetes
diabetes_duration,Diabetes Duration (years) (months)
diabetes_med___1,Diabetes Medical (choice 1)
diabetes_med___2,Diabetes Medical (choice 2)
diabetes_med___3,Diabetes Medical (choice 3)
diabetes_med_dose,Daily medication dose
diabetes_med_other___1,Diabetes Medical Other (choice 1)
diabetes_med_other___2,Diabetes Medical Other (choice 2)
diabetes_med_other___4,Diabetes Medical Other (choice 4)
diabetes_months,Length of Diabetes Diagnosis (months)
diagnostic_formalin_time,Time: LM segment placed in Formalin Vial (Gray)
diagnostic_glut_time,Time: EM segment placed in Glutaraldehyde Vial (Pink)
diagnostic_pass,Diagnostic Core obtained in Pass #
diuretic,Diuretic
dlcl_38_3_2h,DLCL(38:3)-2H
dlcl_42_1_2h,DLCL(42:1)-2H
dlcl_42_1_2h_1,DLCL(42:1)-2H
dlcl_42_3_2h,DLCL(42:3)-2H
dlcl_42_7_2h,DLCL(42:7)-2H
dpir_id,DPIR ID:
dx_verbatim,Diagnosis (verbatim)
eag,Estimated Average Glucose
early_ins_clear,Early-Phase Insulin Clearance
early_phase_insulin_clearance,Early Phase (0-60 min) Insulin Clearance
eat_dias,Epicardial Adipose Tissue Diastole
eat_sys,Epicardial Adipose Tissue Systole
ecv,Extracellular Volume
edv_ml,End diastolic volume (mL)
ef_percent,Ejection fraction
eGFR_bedside_Schwartz,eGFR by Schwartz Bedside Equation
eGFR_CKD_epi,eGFR by CKD-EPI Creatinine 2021
eGFR_CKiD_U25_avg,eGFR CKiD-U25 (avg)
eGFR_CKiD_U25_Creat,eGFR CKiD-U25 (creatinine)
eGFR_CKiD_U25_CystatinC,eGFR CKiD-U25 (cystatin C)
eGFR_fas_cr,eGFR by Full Age Spectrum Scr
eGFR_fas_cr_cysc,eGFR by Full Age Spectrum Scr and CysC
eGFR_Schwartz,eGFR by Schwartz Full Equation
eGFR_Zap,eGFR by Zappitelli Equation
elevated_albuminuria,Elevated Albuminuria
em_edd,Electron-Dense Deposits (EM)
em_fpe_sev,Foot Process Effacement Severity (EM)
em_gbm_thick_sev,GBM Thickness Severity (EM)
em_gloms_n,Glomeruli Count (EM)
em_mesangial_sev,Mesangial Severity (EM)
eosinophil,Eosinophil %:
epic_bb_1,Beta-blockers at 1st kidney biopsy or visit (current)
epic_bb_2,Beta-blockers at 2nd kidney biopsy or visit (current)
epic_ccb_1,Calcium-channel blockers at 1st kidney biopsy or visit (current)
epic_ccb_2,Calcium-channel blockers at 2nd kidney biopsy or visit (current)
epic_diuretics_1,Diuretic at 1st kidney biopsy or visit (current)
epic_diuretics_2,Diuretic at 2nd kidney biopsy or visit (current)
epic_ever_bb_1,"Beta-blockers >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_bb_2,"Beta-blockers >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_ccb_1,"Calcium-channel blockers>30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_ccb_2,"Calcium-channel blockers >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_diuretic_1,"Diuretic >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_diuretics_2,"Diuretic >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_fibrate_1,"Fibrates >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_fibrate_2,"Fibrates >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_glp1ra_1,"GLP-1RA >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_glp1ra_2,"GLP-1RA >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_insulin_1,"Insulin >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_insulin_2,"Insulin >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_mfm_1,"Metformin >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_mfm_2,"Metformin >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_mra_1,"MRAs >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_mra_2,"MRAs >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_phentermine_1,"Phentermine >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_phentermine_2,"Phentermine >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_raasi_1,"ACEIs/ARBs >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_raasi_2,"ACEIs/ARBs >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_sglt2i_1,"SGLT2i >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_sglt2i_2,"SGLT2i >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_statin_1,"Statin >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_statin_2,"Statin >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_topiramate_1,"Topirmate >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_topiramate_2,"Topirmate >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_tzd_1,"Thiazolidinediones >30 days, before 1st kidney biopsy or visit (ever)"
epic_ever_tzd_2,"Thiazolidinediones >30 days, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_ever_uric_1,"Uric-acid lowering agent >30 days or previously use pegloticase, before 1st kidney biopsy or visit (ever)"
epic_ever_uric_2,"Uric-acid lowering agent >30 days or previously use pegloticase, after 1st kidney biopsy or visit AND before 2nd kidney biopsy or visit (ever)"
epic_fibrate_1,Fibrates at 1st kidney biopsy or visit (current)
epic_fibrate_2,Fibrates at 2nd kidney biopsy or visit (current)
epic_glp1ra_1,GLP-1RA at 1st kidney biopsy or visit (current)
epic_glp1ra_2,GLP-1RA at 2nd kidney biopsy or visit (current)
epic_insulin_1,Insulin at 1st kidney biopsy or visit (current)
epic_insulin_2,Insulin at 2nd kidney biopsy or visit (current)
epic_mfm_1,Metformin at 1st kidney biopsy or visit (current)
epic_mfm_2,Metformin at 2nd kidney biopsy or visit (current)
epic_mra_1,MRAs at 1st kidney biopsy or visit (current)
epic_mra_2,MRAs at 2nd kidney biopsy or visit (current)
epic_phentermine_1,Phentermine at 1st kidney biopsy or visit (current)
epic_phentermine_2,Phentermine at 2nd kidney biopsy or visit (current)
epic_raasi_1,ACEIs/ARBs at 1st kidney biopsy or visit (current)
epic_raasi_2,ACEIs/ARBs at 2nd kidney biopsy or visit (current)
epic_sglt2i_2,SGLT2i at 2nd kidney biopsy or visit (current)
epic_sglti2_1,SGLT2i at 1st kidney biopsy or visit (current)
epic_statin_1,Statin at 1st kidney biopsy or visit (current)
epic_statin_2,Statin at 2nd kidney biopsy or visit (current)
epic_topiramate_1,Topirmate at 1st kidney biopsy or visit (current)
epic_topiramate_2,Topirmate at 2nd kidney biopsy or visit (current)
epic_tzd_1,Thiazolidinediones at 1st kidney biopsy or visit (current)
epic_tzd_2,Thiazolidinedionesat 2nd kidney biopsy or visit (current)
epic_uric_1,Uric-acid lowering agent at 1st kidney biopsy or visit (current)
epic_uric_2,Uric-acid lowering agent at 2nd kidney biopsy or visit (current)
erpf_bsa_plasma,BSA indexed ERPF from plasma clearance (mL/min/1.73m^2)
erpf_bsa_plasma_urine,BSA indexed ERPF from plasma and urine clearance (mL/min/1.73m^2)
erpf_raw_plasma,ERPF from plasma clearance (mL/min)
erpf_raw_plasma_urine,ERPF from plasma and urine clearance (mL/min)
estrad,Estradiol
esv_ml,End systolic volume (mL)
fa_12_0,FA(12:0)
fa_14_0,FA(14:0)
fa_14_1,FA(14:1)
fa_15_0,FA(15:0)
fa_15_1,FA(15:1)
fa_16_0,FA(16:0)
fa_16_1,FA(16:1)
fa_17_0,FA(17:0)
fa_17_1,FA(17:1)
fa_18_0,FA(18:0)
fa_18_1,FA(18:1)
fa_18_2,FA(18:2)
fa_18_2_h,FA(18:2)-H
fa_18_3,FA(18:3)
fa_19_0,FA(19:0)
fa_19_1,FA(19:1)
fa_20_0,FA(20:0)
fa_20_1,FA(20:1)
fa_20_2,FA(20:2)
fa_20_3,FA(20:3)
fa_20_4,FA(20:4)
fa_20_5,FA(20:5)
fa_21_0,FA(21:0)
fa_22_0,FA(22:0)
fa_22_1,FA(22:1)
fa_22_4,FA(22:4)
fa_22_5,FA(22:5)
fa_22_6,FA(22:6)
fa_23_0,FA(23:0)
fa_24_0,FA(24:0)
fa_25_0,FA(25:0)
fa_25_7,FA(25:7)
fa_26_0,FA(26:0)
fasting_cpep,Fasting C-peptide
fasting_ffa,Fasting FFA
fasting_glu,Fasting Glucose
fasting_insulin,Fasting Insulin
fasting_insulin_clearance_ng_ml_uiu_l,Fasting Insulin Clearance (ng/mL/Uiu/L)
fat_oxidation_new,Fat Oxidation/BW (New)
fat_oxidation_new_nonbw,Fat Oxidation (New)
fbg,Fasting Blood Glucose (mg/dL)
ff,Filtration fraction (%)
ffa_0,Free Fatty Acid (0 min)
ffa_2,Free Fatty Acid (2 min)
ffa_4,Free Fatty Acid (4 min)
ffa_6,Free Fatty Acid (6 min)
ffa_8,Free Fatty Acid (8 min)
ffa_10,Free Fatty Acid (10 min)
ffa_30,Free Fatty Acid (30 min)
ffa_60,Free Fatty Acid (60 min)
ffa_70,Free Fatty Acid (70 min)
ffa_80,Free Fatty Acid (80 min)
ffa_90,Free Fatty Acid (90 min)
ffa_120,Free Fatty Acid (120 min)
ffa_180,Free Fatty Acid (180 min)
ffa_220,Free Fatty Acid (220 min)
ffa_230,Free Fatty Acid (230 min)
ffa_240,Free Fatty Acid (240 min)
ffa_250,Free Fatty Acid (250 min)
ffa_260,Free Fatty Acid (260 min)
ffa_270,Free Fatty Acid (270 min)
ffa_method,Method of FFA collection
ffa_minus_5,Free Fatty Acid (T=-5 Before Clamp)
ffa_minus_10,Free Fatty Acid (T=-10 Before Clamp)
ffa_minus_20,Free Fatty Acid (T=-20 Before Clamp)
ffa_suppression,FFA Suppression (%)
ffa_suppression_combined,FFA Suppression (combined across studies) (%)
fia,Fractional Interstitial Area
fibrates,Fibrates
fibrates_timepoint,Fibrates
form_id,Formalin Vial ID
fractional_pt_epithelium_area,Fractional PT epithelium area
fractional_pt_lumen_area,Fractional PT lumen area
fractional_pt_total_area,Fractional PT total area (Epithelium+ Lumen)
free_test,Free Testosterone
fsh,FSH (mlU/mL)
fsoc_l_cortex,Left cortex FSOC
fsoc_l_kidney,Left kidney FSOC
fsoc_l_medulla,Left medulla FSOC
fsoc_r_cortex,Right cortex FSOC
fsoc_r_kidney,Right kidney FSOC
fsoc_r_medulla,Right medulla FSOC
fucose_tissue,Fucose
fumarate,Fumarate
fumaric_acid_tissue,Fumaric acid
g6pd,G6PD test results
gbm_lm_sev,GBM Severity (LM)
gbm_thick_artmean,GBM thickness (arithmetic mean)
gbm_thick_harmmean,GBM thickness (hamonic mean)
gcs,Global Circumferential Strain
gfap_avg_conc,GFAP Average Concentration (pg/mL)
gfr_bsa_plasma,BSA indexed GFR from plasma clearance (mL/min/1.73m^2)
gfr_bsa_plasma_urine,BSA indexed GFR from plasma and urine clearance (mL/min/1.73m^2) (mL/min/1.73m^2)
gfr_cv,GFR -- cv
gfr_ecv_percent,GFR/ECV (%)
gfr_ecv_std,GFR Standardized by ECV
gfr_p1,GFR -- Period 1
gfr_p2,GFR -- Period 2
gfr_raw_plasma,GFR from plasma clearance (mL/min)
gfr_raw_plasma_seconds,GFR Raw Plasma (seconds)
gfr_raw_plasma_urine,GFR from plasma and urine clearance (mL/min)
gfr_sd,GFR -- sd
gir_190,Raw M-value (mg/kg/min)
gir_200,Glucose infusion rate (mg/kg/min)
glom_enlarge___1,Glomerular Enlargement (choice 1)
glom_enlarge___2,Glomerular Enlargement (choice 2)
glom_enlarge___3,Glomerular Enlargement (choice 3)
glom_enlarge___4,Glomerular Enlargement (choice 4)
glom_enlarge___5,Glomerular Enlargement (choice 5)
glom_enlarge___6,Glomerular Enlargement (choice 6)
glom_enlarge___7,Glomerular Enlargement (choice 7)
glom_nuc_count,Glomerular Nuclear Count
glom_tuft_area,Glomerular Tuft Area (um^2)
glom_volume_con,Glomerular Volume - Consensus (10^6 um^3)
glom_volume_weibel,Glomerular Volume - Weibel (10^6 um^3)
glom_volume_wiggins,Glomerular Volume - Wiggins (10^6 um^3)
glomerular_pressure,Glomerular pressure (mmHg)
gloms,Number of Glomeruli
gloms_gs,GS Gloms (%)
gloms_gs_n,Globally Sclerotic Glomeruli (n)
glp1_0,GLP-1 (0 min)
glp1_10,GLP-1 (10 min)
glp1_30,GLP-1 (30 min)
glp1_45,GLP-1 (45 min)
glp1_60,GLP-1 (60 min)
glp1_120,GLP-1 (120 min)
glp1_240,GLP-1 (240 min)
glp1_agonist_timepoint,GLP-1RA
glp1_minus_10,GLP-1 (-10 min)
gls,Global Longitudinal Strain
gluc_2,Glucose (2 min)
gluc_3,Glucose (3 min)
gluc_4,Glucose (4 min)
gluc_5,Glucose (5 min)
gluc_6,Glucose (6 min)
gluc_8,Glucose (8 min)
gluc_10,Glucose (10 min)
gluc_12,Glucose (12 min)
gluc_14,Glucose (14 min)
gluc_16,Glucose (16 min)
gluc_19,Glucose (19 min)
gluc_22,Glucose (22 min)
gluc_23,Glucose (23 min)
gluc_24,Glucose (24 min)
gluc_25,Glucose (25 min)
gluc_27,Glucose (27 min)
gluc_30,Glucose (30 min)
gluc_35,Glucose (35 min)
gluc_40,Glucose (40 min)
gluc_50,Glucose (50 min)
gluc_60,Glucose (60 min)
gluc_70,Glucose (70 min)
gluc_80,Glucose (80 min)
gluc_90,Glucose (90 min)
gluc_100,Glucose (100 min)
gluc_120,Glucose (120 min)
gluc_140,Glucose (140 min)
gluc_160,Glucose (160 min)
gluc_180,Glucose (180 min)
gluc_minus_15,Glucose (-15 min)
glucagon_0,Glucagon (0 min)
glucagon_10,Glucagon (10 min)
glucagon_30,Glucagon (30 min)
glucagon_45,Glucagon (45 min)
glucagon_60,Glucagon (60 min)
glucagon_120,Glucagon (120 min)
glucagon_240,Glucagon (240 min)
glucagon_minus_10,Glucagon (-10 min)
gluconolactone_tissue,Gluconolactone
glucose,Serum Glucose
glucose_0,Blood Glucose (0 min)
glucose_5,Blood Glucose (5 min)
glucose_10,Blood Glucose (10 min)
glucose_15,Blood Glucose (15 min)
glucose_15post,Blood Glucose (T=+15 After Clamp)
glucose_20,Blood Glucose (20 min)
glucose_25,Blood Glucose (25 min)
glucose_30,Blood Glucose (30 min)
glucose_30post,Blood Glucose (T=+30 After Clamp)
glucose_35,Blood Glucose (35 min)
glucose_40,Blood Glucose (40 min)
glucose_45,Blood Glucose (45 min)
glucose_50,Blood Glucose (50 min)
glucose_55,Blood Glucose (55 min)
